ID;x;y;year;field_id;ahn_mean;crop_name;ndvi_values
6 ; 221007.872139786 ; 449796.163332443 ; 2015 ; 3315816 ; 1581.2 ; Grasland, tijdelijk ; [0.501809, 0.478639, 0.5427, 0.477965, 0.619583]
6 ; 221007.872139786 ; 449796.163332443 ; 2017 ; 4680266 ; 1581.2 ; Grasland, tijdelijk ; [0.258, 0.324, 0.429, 0.417, 0.357]
7 ; 221318.194168083 ; 450471.376601563 ; 2016 ; 352497 ; 1553.057142857143 ; Grasland, tijdelijk ; [0.468679, 0.6017, 0.607616, 0.577763, 0.542584]
7 ; 221318.194168083 ; 450471.376601563 ; 2014 ; 946866 ; 1553.057142857143 ; Grasland, blijvend ; [0.585653, 0.569358, 0.604347, 0.612747, 0.652605]
7 ; 221318.194168083 ; 450471.376601563 ; 2013 ; 2149766 ; 1553.057142857143 ; Grasland, blijvend ; [0.463153, 0.591821, 0.516405, 0.515405, 0.533416]
7 ; 221318.194168083 ; 450471.376601563 ; 2015 ; 3315828 ; 1553.057142857143 ; Grasland, blijvend ; [0.491784, 0.373874, 0.51011, 0.446205, 0.435542]
7 ; 221318.194168083 ; 450471.376601563 ; 2017 ; 4583851 ; 1553.057142857143 ; Grasland, blijvend ; [0.582, 0.684, 0.684, 0.663, 0.663]
8 ; 220482.03150812 ; 450569.869396202 ; 2016 ; 621084 ; 1476.0625 ; Grasland, tijdelijk ; [0.508875, 0.576984, 0.593031, 0.598681, 0.535194]
8 ; 220482.03150812 ; 450569.869396202 ; 2014 ; 1574180 ; 1476.0625 ; Mais, snij- ; [0.361945, 0.339587, 0.360738, 0.348609, 0.412556]
8 ; 220482.03150812 ; 450569.869396202 ; 2013 ; 2340808 ; 1476.0625 ; Mais, snij- ; [0.312159, 0.407884, 0.286031, 0.309663, 0.300197]
8 ; 220482.03150812 ; 450569.869396202 ; 2012 ; 3200788 ; 1476.0625 ; Grasland, tijdelijk ; []
8 ; 220482.03150812 ; 450569.869396202 ; 2015 ; 3992300 ; 1476.0625 ; Mais, snij- ; [0.396359, 0.471297, 0.4259, 0.446037, 0.580066]
8 ; 220482.03150812 ; 450569.869396202 ; 2017 ; 4200829 ; 1476.0625 ; Grasland, tijdelijk ; [0.594, 0.681, 0.684, 0.69, 0.693]
10 ; 221574.951007828 ; 451723.670118289 ; 2016 ; 283910 ; 1492.027027027027 ; Mais, snij- ; [0.331609, 0.386727, 0.403773, 0.424627, 0.420718]
10 ; 221574.951007828 ; 451723.670118289 ; 2014 ; 1545273 ; 1491.7222222222222 ; Mais, snij- ; [0.364241, 0.345555, 0.404173, 0.439846, 0.464445]
10 ; 221574.951007828 ; 451723.670118289 ; 2013 ; 2373097 ; 1492.027027027027 ; Mais, snij- ; [0.2447, 0.335955, 0.314159, 0.323559, 0.329777]
10 ; 221574.951007828 ; 451723.670118289 ; 2012 ; 3053093 ; 1492.027027027027 ; Mais, snij- ; []
10 ; 221574.951007828 ; 451723.670118289 ; 2015 ; 3968792 ; 1492.027027027027 ; Mais, snij- ; [0.305314, 0.42985, 0.3495, 0.497991, 0.462714]
10 ; 221574.951007828 ; 451723.670118289 ; 2017 ; 4175874 ; 1492.027027027027 ; Mais, snij- ; [0.261, 0.201, 0.24, 0.228, 0.219]
11 ; 220277.795577844 ; 451619.537763465 ; 2016 ; 161899 ; 1404.6923076923076 ; Mais, snij- ; [0.333527, 0.393027, 0.409953, 0.390473, 0.408213]
11 ; 220277.795577844 ; 451619.537763465 ; 2014 ; 1569524 ; 1404.6923076923076 ; Mais, snij- ; [0.30804, 0.293773, 0.346667, 0.366833, 0.38934]
11 ; 220277.795577844 ; 451619.537763465 ; 2013 ; 2323577 ; 1404.6923076923076 ; Mais, snij- ; [0.284713, 0.348893, 0.317293, 0.331453, 0.318613]
11 ; 220277.795577844 ; 451619.537763465 ; 2012 ; 3092754 ; 1404.6923076923076 ; Mais, snij- ; []
11 ; 220277.795577844 ; 451619.537763465 ; 2015 ; 3998591 ; 1404.6923076923076 ; Mais, snij- ; [0.240133, 0.353993, 0.27638, 0.293787, 0.391933]
11 ; 220277.795577844 ; 451619.537763465 ; 2017 ; 4762564 ; 1404.6923076923076 ; Mais, snij- ; [0.252, 0.27, 0.225, 0.228, 0.237]
12 ; 222563.866419577 ; 452404.575958331 ; 2016 ; 180373 ; 1649.4594594594594 ; Mais, snij- ; [0.314575, 0.329075, 0.347754, 0.334687, 0.35735]
12 ; 222563.866419577 ; 452404.575958331 ; 2014 ; 882649 ; 1647.5263157894738 ; Mais, snij- ; [0.339713, 0.290404, 0.327617, 0.364138, 0.386654]
12 ; 222563.866419577 ; 452404.575958331 ; 2013 ; 2338301 ; 1647.5263157894738 ; Mais, snij- ; [0.24775, 0.314046, 0.276467, 0.283633, 0.285763]
12 ; 222563.866419577 ; 452404.575958331 ; 2012 ; 3104982 ; 1647.5263157894738 ; Mais, snij- ; []
12 ; 222563.866419577 ; 452404.575958331 ; 2015 ; 3994434 ; 1647.5263157894738 ; Mais, snij- ; [0.357613, 0.308646, 0.458917, 0.418392, 0.404433]
12 ; 222563.866419577 ; 452404.575958331 ; 2017 ; 4577020 ; 1645.7857142857142 ; Mais, snij- ; [0.375, 0.591, 0.183, 0.207, 0.213]
13 ; 221225.642484452 ; 452223.677642745 ; 2016 ; 602396 ; 1452.2857142857142 ; Grasland, blijvend ; [0.558493, 0.649993, 0.626567, 0.63776, 0.599667]
13 ; 221225.642484452 ; 452223.677642745 ; 2014 ; 1297243 ; 1452.2857142857142 ; Grasland, blijvend ; [0.6017, 0.581493, 0.606773, 0.626507, 0.66548]
13 ; 221225.642484452 ; 452223.677642745 ; 2013 ; 1865329 ; 1452.2857142857142 ; Grasland, blijvend ; [0.470533, 0.607, 0.560013, 0.566333, 0.591653]
13 ; 221225.642484452 ; 452223.677642745 ; 2012 ; 2951524 ; 1452.2857142857142 ; Grasland, blijvend ; []
13 ; 221225.642484452 ; 452223.677642745 ; 2015 ; 3610959 ; 1452.2857142857142 ; Grasland, blijvend ; [0.47584, 0.540747, 0.447953, 0.456027, 0.59578]
13 ; 221225.642484452 ; 452223.677642745 ; 2017 ; 4629549 ; 1452.2857142857142 ; Grasland, blijvend ; [0.579, 0.681, 0.633, 0.639, 0.636]
14 ; 221235.708238315 ; 452404.465637048 ; 2016 ; 142900 ; 1440.15 ; Grasland, blijvend ; [0.482652, 0.628174, 0.612965, 0.610261, 0.566322]
14 ; 221235.708238315 ; 452404.465637048 ; 2014 ; 1252609 ; 1439.0 ; Grasland, blijvend ; [0.576075, 0.57995, 0.620425, 0.620775, 0.641325]
14 ; 221235.708238315 ; 452404.465637048 ; 2013 ; 1600997 ; 1439.0 ; Grasland, blijvend ; [0.379825, 0.545, 0.499925, 0.4953, 0.510425]
14 ; 221235.708238315 ; 452404.465637048 ; 2012 ; 2635857 ; 1439.0 ; Grasland, blijvend ; []
14 ; 221235.708238315 ; 452404.465637048 ; 2015 ; 3827233 ; 1438.341463414634 ; Grasland, blijvend ; [0.470561, 0.52173, 0.44407, 0.443061, 0.559583]
14 ; 221235.708238315 ; 452404.465637048 ; 2017 ; 4533892 ; 1439.0 ; Grasland, blijvend ; [0.576, 0.69, 0.681, 0.684, 0.531]
